run_label,architecture,seed,source_file,metric_column,std_threshold,iteration,n_before,mean,sample_std,threshold,n_removed
L3N5 seed 1,L3N5,1,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed1_task4_per_point.csv,force_mae,3.0,10,71558,0.40870036616733935,0.2700459946742977,1.2188383501902325,122
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,1,80000,0.7000906752509899,1.401927933612531,4.905874476088583,481
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,2,79519,0.6537945824896759,0.6446389188962822,2.5877113391785227,1967
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,3,77552,0.5847367780335545,0.47267000526933256,2.002746793841552,1815
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,4,75737,0.5445530237582237,0.3988560970814901,1.741121315002694,1366
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,5,74371,0.5203066285950021,0.35959911915541565,1.599103986061249,957
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,6,73414,0.5053391696208168,0.3369956303711008,1.5163260607341194,624
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,7,72790,0.49633095310846337,0.32401780478277714,1.468384367456795,396
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,8,72394,0.4908863077414099,0.31640441797353314,1.4400995616620094,263
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,9,72131,0.48737447900012115,0.3115793615896008,1.4221125637689236,178
L3N5 seed 2,L3N5,2,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed2_task5_per_point.csv,force_mae,3.0,10,71953,0.4850401100479964,0.30840485674260226,1.4102546802758031,107
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,1,80000,0.9543238453082751,92.9956463971765,279.94126303683777,3
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,2,79997,0.5967284759097814,0.8103218883268312,3.027694140890275,1286
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,3,78711,0.528238386547867,0.49248462842386337,2.0056922718194574,2039
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,4,76672,0.477947316354013,0.38619236891118186,1.6365244230875584,1631
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,5,75041,0.4490527909990505,0.33599946109348094,1.4570511742794934,1225
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,6,73816,0.43089525559614417,0.30745199011427754,1.3532512259389766,831
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,7,72985,0.41982264091631527,0.2910365342134715,1.2929322435567296,574
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,8,72411,0.4126648447998423,0.2808147825473856,1.255109192441999,403
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,9,72008,0.40784866875256687,0.2740980837329005,1.2301429199512683,269
L3N5 seed 3,L3N5,3,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed3_task6_per_point.csv,force_mae,3.0,10,71739,0.4047197106820472,0.26979714302141317,1.2141111397462867,186
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_mae,3.0,1,80000,0.5974813308890118,0.8508465580341565,3.1500210049914816,1210
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_mae,3.0,2,78790,0.5289604031117547,0.5011204304473631,2.0323216944538443,2011
L3N5 seed 4,L3N5,4,examples/methane_sweep/results/per_point/random_common_80k/l3_n5_d1000000_seed4_task7_per_point.csv,force_mae,3.0,3,76779,0.4778545512767489,0.3908454715725561,1.6503909659944171,1644
