subset,metric,direction,rank,source_index,target_energy,max_target_atomic_force,h_planarity_ratio,in_high_force,in_high_energy,in_planar,l3n4_median_error,l3n5_median_error,l3n5_minus_l3n4
high_force,force_rmse,largest_l3n5_improvement,10,4270577,136.68980407714844,1329.7604327721895,0.3630710463413636,True,True,False,10.044304174749342,7.559222954033201,-2.4850812207161415
high_force,force_rmse,largest_l3n5_improvement,11,4751087,7.345848083496094,223.2811740834124,0.15665994848757206,True,False,False,7.427755810266902,4.952317282365158,-2.475438527901744
high_force,force_rmse,largest_l3n5_improvement,12,7081698,94.93647766113281,1424.8634535228427,0.07052923645734732,True,True,False,6.975816970699096,4.50379670757635,-2.4720202631227464
high_force,force_rmse,largest_l3n5_improvement,13,4675306,475.09930419921875,3592.046891204853,0.2910936566892946,True,True,False,10.937766532851203,8.51346441155517,-2.4243021212960336
high_force,force_rmse,largest_l3n5_improvement,14,7237219,380.9141540527344,2547.380533788192,0.0036300819483645903,True,True,True,12.37602268798955,10.013967124303871,-2.3620555636856793
high_force,force_rmse,largest_l3n5_improvement,15,5962212,67.50299072265625,838.4854980014323,0.1341212085710198,True,True,False,12.940059640344238,10.584816683353495,-2.355242956990743
high_force,force_rmse,largest_l3n5_improvement,16,5122175,336.9683837890625,2010.8819511362944,0.23028704377347634,True,True,False,15.321796703578393,13.074786861647965,-2.247009841930428
high_force,force_rmse,largest_l3n5_improvement,17,4460916,553.5440063476562,3929.027490288446,0.13393994890871513,True,True,False,5.801054513781942,3.648087726769462,-2.1529667870124802
high_force,force_rmse,largest_l3n5_improvement,18,6901836,25.211679458618164,1263.0697795453805,0.12340800318099437,True,False,False,6.082958055192128,3.980440450294022,-2.102517604898106
high_force,force_rmse,largest_l3n5_improvement,19,3877751,383.8187255859375,3005.1609791452292,0.3083544873408319,True,True,False,8.789593903101585,6.7194225555052345,-2.07017134759635
high_force,force_rmse,largest_l3n5_improvement,20,3438805,45.60647201538086,659.4992985288256,0.06250436988790038,True,False,False,13.51752640811052,11.487839385879148,-2.0296870222313714
high_force,force_rmse,largest_l3n5_improvement,21,6541692,-60.80000305175781,206.12350964115782,0.07517402793684863,True,False,False,9.234648678799108,7.232931224056742,-2.0017174547423657
high_force,force_rmse,largest_l3n5_improvement,22,7012853,85.27275085449219,1559.036771397597,0.039956491266223804,True,True,True,25.211669407569758,23.213701081482665,-1.9979683260870935
high_force,force_rmse,largest_l3n5_improvement,23,5826856,453.3032531738281,2255.5204167684606,0.09970006770224848,True,True,False,5.977441006813649,4.013212468226156,-1.9642285385874931
high_force,force_rmse,largest_l3n5_improvement,24,3526889,155.41368103027344,1203.6128288086545,0.09848170691029168,True,True,False,3.7236533647850067,1.7897854288771124,-1.9338679359078943
high_force,force_rmse,largest_l3n5_improvement,25,3733971,-123.41069793701172,272.4060485645614,0.27387421557149233,True,False,False,9.315449114348336,7.4224759545151535,-1.8929731598331827
high_force,force_rmse,largest_l3n5_regression,1,6116553,776.0056762695312,3615.9614779046424,0.08422628053254536,True,True,False,28.635686021753614,36.60351827438011,7.9678322526264935
high_force,force_rmse,largest_l3n5_regression,2,7306805,-17.657989501953125,464.77661298106284,0.003262245686422645,True,False,True,13.436098573451824,21.289578572954028,7.853479999502204
high_force,force_rmse,largest_l3n5_regression,3,3838582,852.1339721679688,4686.090186005615,0.06018182665764262,True,True,False,15.400676599640988,19.594825340412307,4.194148740771318
high_force,force_rmse,largest_l3n5_regression,4,6687820,426.24853515625,2814.9874790557537,0.061717574660299486,True,True,False,5.470869443573726,9.418143431543541,3.9472739879698153
high_force,force_rmse,largest_l3n5_regression,5,4426685,763.7227783203125,3332.67259615729,0.14101687776701655,True,True,False,5.321155764412893,9.123821949291266,3.8026661848783725
high_force,force_rmse,largest_l3n5_regression,6,5369071,96.65461730957031,1140.5123758048435,0.23020958463417324,True,True,False,11.421148345849472,15.014393085838474,3.593244739989002
high_force,force_rmse,largest_l3n5_regression,7,4721418,445.1910095214844,3636.014261369412,0.21404366392942575,True,True,False,6.418242372007249,9.68010537896022,3.2618630069529715
high_force,force_rmse,largest_l3n5_regression,8,6783556,502.5869445800781,3637.00161425295,0.2706014117448172,True,True,False,8.6480313879203,11.905097740154073,3.257066352233773
high_force,force_rmse,largest_l3n5_regression,9,5044745,195.63421630859375,840.4466285368908,0.12635855290508713,True,True,False,7.874138979879329,11.014363477249505,3.140224497370176
high_force,force_rmse,largest_l3n5_regression,10,7508701,467.0024108886719,2244.888265487574,0.08284972848157236,True,True,False,4.936343822464554,8.003786639835825,3.067442817371271
high_force,force_rmse,largest_l3n5_regression,11,3825282,197.35723876953125,1673.1016503531678,0.24910823602160465,True,True,False,5.910041622170669,8.858532924262892,2.948491302092223
high_force,force_rmse,largest_l3n5_regression,12,3104925,645.1893310546875,3805.0113948103526,0.08606981943316722,True,True,False,5.429662934617747,8.267158000402633,2.8374950657848856
high_force,force_rmse,largest_l3n5_regression,13,4280646,555.4479370117188,3530.018774988642,0.22909043066509735,True,True,False,5.1305336036770335,7.959058805616079,2.828525201939046
high_force,force_rmse,largest_l3n5_regression,14,3319908,122.4639663696289,573.5452868360959,0.05766772768401383,True,True,False,15.370015886892888,18.168871713549223,2.798855826656334
high_force,force_rmse,largest_l3n5_regression,15,6023073,-45.316768646240234,722.5894756370011,0.011209684070997239,True,False,True,10.642302861102287,13.39864049551841,2.7563376344161234
high_force,force_rmse,largest_l3n5_regression,16,7154162,551.7584228515625,3929.069287602201,0.36431874840628536,True,True,False,15.367380421309875,18.090379353477843,2.722998932167968
high_force,force_rmse,largest_l3n5_regression,17,3196154,339.3658142089844,2947.2563288066754,0.5596171508563738,True,True,False,3.658902358046614,6.343846807055477,2.6849444490088628
high_force,force_rmse,largest_l3n5_regression,18,6581807,1.5294078588485718,776.2923745926233,0.1675810160693691,True,False,False,7.055517440053219,9.594549546848079,2.53903210679486
high_force,force_rmse,largest_l3n5_regression,19,6063503,-54.58428192138672,505.6486739269703,0.02351442131086386,True,False,True,4.441121575287348,6.943539545968875,2.5024179706815266
