condition,subset,architecture,seed,run_file,n_molecules,energy_mae,energy_rmse,force_mae,force_rmse
single_point_removed,all,L3N4,42,l3_n4_d1000000_seed42_task3_per_point.npz,79999,0.2300254985876023,0.3947152819364955,0.6380608837001563,1.3829151563668889
single_point_removed,all,L3N4,7,l3_n4_d1000000_seed7_task2_per_point.npz,79999,0.20434377151723546,0.3493052828931794,0.5867417857810489,1.2958311740833268
single_point_removed,all,L3N5,0,l3_n5_d1000000_seed0_task3_per_point.npz,79999,0.2790580983646451,0.4585799713479776,0.7216810754932186,1.5595876516671259
single_point_removed,all,L3N5,1776,l3_n5_d1000000_seed1776_task1_per_point.npz,79999,0.21555414421102004,0.42465849403850103,0.6531516829616013,11.830005805197429
single_point_removed,all,L3N5,1,l3_n5_d1000000_seed1_task4_per_point.npz,79999,0.2062253340065804,0.3520484788134601,0.6048649555029184,1.293269132067132
single_point_removed,all,L3N5,2,l3_n5_d1000000_seed2_task5_per_point.npz,79999,0.27097961311528984,0.44659619852222254,0.6967140775142404,1.647474648507307
single_point_removed,all,L3N5,3,l3_n5_d1000000_seed3_task6_per_point.npz,79999,0.20394650219085464,0.3489088612898367,0.6265257485354053,10.369789627636619
single_point_removed,all,L3N5,42,l3_n5_d1000000_seed42_task0_per_point.npz,79999,0.20815761477142763,0.35649919975339667,0.6041989689571777,1.3239194888544696
single_point_removed,all,L3N5,4,l3_n5_d1000000_seed4_task7_per_point.npz,79999,0.20383761596646005,0.3570797325367195,0.5969139734641165,1.342844364055362
single_point_removed,all,L3N5,7,l3_n5_d1000000_seed7_task2_per_point.npz,79999,0.21441509696733335,0.36876880338938933,0.6279605299691443,1.3700635174296512
single_point_removed,high_force,L3N4,0,l3_n4_d1000000_seed0_task0_per_point.npz,12000,0.39295713083725425,0.6340466713623387,1.2550714828889455,2.584316054412506
single_point_removed,high_force,L3N4,101,l3_n4_d1000000_seed101_task4_per_point.npz,12000,0.38862615303633113,0.6348833372821884,1.2310290220945557,2.520135034004299
